,Abstract Note,fus_related
11,"INTRODUCTION: Despite recommendations from professional societies and patient safety organizations, the majority of ICU patients worldwide are not routinely monitored for delirium, thus preventing timely prevention and management. The purpose of this systematic review is to summarize what types of implementation strategies have been tested to improve ICU clinicians' ability to effectively assess, prevent and treat delirium and to evaluate the effect of these strategies on clinical outcomes. METHOD: We searched PubMed, Embase, PsychINFO, Cochrane and CINAHL (January 2000 and April 2014) for studies on implementation strategies that included delirium-oriented interventions in adult ICU patients. Studies were suitable for inclusion if implementation strategies' efficacy, in terms of a clinical outcome, or process outcome was described. RESULTS: We included 21 studies, all including process measures, while 9 reported both process measures and clinical outcomes. Some individual strategies such as ""audit and feedback"" and ""tailored interventions"" may be important to establish clinical outcome improvements, but otherwise robust data on effectiveness of specific implementation strategies were scarce. Successful implementation interventions were frequently reported to change process measures, such as improvements in adherence to delirium screening with up to 92%, but relating process measures to outcome changes was generally not possible. In meta-analyses, reduced mortality and ICU length of stay reduction were statistically more likely with implementation programs that employed more (six or more) rather than less implementation strategies and when a framework was used that either integrated current evidence on pain, agitation and delirium management (PAD) or when a strategy of early awakening, breathing, delirium screening and early exercise (ABCDE bundle) was employed. Using implementation strategies aimed at organizational change, next to behavioral change, was also associated with reduced mortality. CONCLUSION: Our findings may indicate that multi-component implementation programs with a higher number of strategies targeting ICU delirium assessment, prevention and treatment and integrated within PAD or ABCDE bundle have the potential to improve clinical outcomes. However, prospective confirmation of these findings is needed to inform the most effective implementation practice with regard to integrated delirium management and such research should clearly delineate effective practice change from improvements in clinical outcomes.",0
12,"BACKGROUND: Delirium during critical illness results from numerous insults, which might be interconnected and yet individually contribute to long-term cognitive impairment. We sought to describe the prevalence and duration of clinical phenotypes of delirium (ie, phenotypes defined by clinical risk factors) and to understand associations between these clinical phenotypes and severity of subsequent long-term cognitive impairment. METHODS: In this multicentre, prospective cohort study, we included adult (≥18 years) medical or surgical ICU patients with respiratory failure, shock, or both as part of two parallel studies: the Bringing to Light the Risk Factors and Incidence of Neuropsychological Dysfunction in ICU Survivors (BRAIN-ICU) study, and the Delirium and Dementia in Veterans Surviving ICU Care (MIND-ICU) study. We assessed patients at least once a day for delirium using the Confusion Assessment Method-ICU and identified a priori-defined, non-mutually exclusive phenotypes of delirium per the presence of hypoxia, sepsis, sedative exposure, or metabolic (eg, renal or hepatic) dysfunction. We considered delirium in the absence of hypoxia, sepsis, sedation, and metabolic dysfunction to be unclassified. 3 and 12 months after discharge, we assessed cognition with the Repeatable Battery for the Assessment of Neuropsychological Status (RBANS). We used multiple linear regression to separately analyse associations between the duration of each phenotype of delirium and RBANS global cognition scores at 3-month and 12-month follow-up, adjusting for potential confounders. FINDINGS: Between March 14, 2007, and May 27, 2010, 1048 participants were enrolled, eight of whom could not be analysed. Of 1040 participants, 708 survived to 3 months of follow-up and 628 to 12 months. Delirium was common, affecting 740 (71%) of 1040 participants at some point during the study and occurring on 4187 (31%) of all 13 434 participant-days. A single delirium phenotype was present on only 1355 (32%) of all 4187 participant-delirium days, whereas two or more phenotypes were present during 2832 (68%) delirium days. Sedative-associated delirium was most common (present during 2634 [63%] delirium days), and a longer duration of sedative-associated delirium predicted a worse RBANS global cognition score 12 months later, after adjusting for covariates (difference in score comparing 3 days vs 0 days: -4·03, 95% CI -7·80 to -0·26). Similarly, longer durations of hypoxic delirium (-3·76, 95% CI -7·16 to -0·37), septic delirium (-3·67, -7·13 to -0·22), and unclassified delirium (-4·70, -7·16 to -2·25) also predicted worse cognitive function at 12 months, whereas duration of metabolic delirium did not (1·14, -0·12 to 3·01). INTERPRETATION: Our findings suggest that clinicians should consider sedative-associated, hypoxic, and septic delirium, which often co-occur, as distinct indicators of acute brain injury and seek to identify all potential risk factors that may impact on long-term cognitive impairment, especially those that are iatrogenic and potentially modifiable such as sedation. FUNDING: National Institutes of Health and the Department of Veterans Affairs.",0
13,"BACKGROUND: Limited data are available on clinical phenotype for delirium that occurs frequently among patients admitted to the cardiac intensive care unit (CICU). The objective of this study was to investigate the clinical pictures of delirium, and their association with clinical outcomes in CICU patients. METHODS: A total of 4,261 patients who were admitted to the CICU between September 1 2012 to December 31 2018 were retrospectively registered. Patients were excluded if they were admitted to the CICU for less than 24 hours or had missed data. Ultimately, 2,783 patients were included in the analysis. A day of delirium was defined as any day during which at least one CAM-ICU assessment was positive. The clinical risk factors of delirium were classified by the delirium phenotype, as follows; hypoxic, septic, sedative-associated, and metabolic delirium. RESULTS: The incidence of delirium was 24.4% at the index hospitalization in all CICU patients, and 22.6% within 7 days after CICU admission. The most common delirium phenotype was septic delirium (17.2%), followed by hypoxic delirium (16.8%). Multiple phenotypes were observed during most delirium days. Delirium most frequently occurred in patients with heart failure. Of all patients affected by delirium within 7 days, both ICU and hospital mortality significantly increased according to the combined number of delirium phenotypes. CONCLUSIONS: Delirium occurred in a quarter of patients admitted to the modern CICU and was associated with increased in-hospital mortality. Therefore, more efforts are needed to reduce the clinical risk factors of delirium, and to prevent it in order to improve clinical outcomes in the CICU.",0
14,"Sepsis is a potentially life-threatening condition caused by a systemic dysregulated host response to infection. The brain is particularly susceptible to the effects of sepsis with clinical manifestations ranging from mild confusion to a deep comatose state. Sepsis-associated delirium (SAD) is a cerebral manifestation commonly occurring in patients with sepsis and is thought to occur due to a combination of neuroinflammation and disturbances in cerebral perfusion, the blood brain barrier (BBB) and neurotransmission. The neurological impairment associated with SAD can persist for months or even longer, after the initial septic episode has subsided which may impair the rehabilitation potential of sepsis survivors. Early identification and treatment of the underlying sepsis is key in the management of SAD as once present it can be difficult to control. Through the regular use of validated screening tools for delirium, cases of SAD can be identified early; this allows potentially aggravating factors to be addressed promptly. The usefulness of biomarkers, neuroimaging and electroencephalopathy (EEG) in the diagnosis of SAD remains controversial. The Society of Critical Care Medicine (SCCM) guidelines advise against the use of medications to treat delirium unless distressing symptoms are present or it is hindering the patient’s ability to wean from organ support.",0
15,"BACKGROUND: Delirium is common, distressing, and associated with poor outcomes. Despite this, delirium remains poorly recognized, resulting in worse outcomes. There is an urgent need for methods to objectively assess for delirium. Physical function has been proposed as a potential surrogate marker, but few studies have monitored physical function in the context of delirium. We examined if trajectories of physical function are affected by the presence and severity of delirium in a representative sample of hospitalized participants older than 65 years. METHOD: During hospital admissions in 2016, we assessed participants from the Delirium and Cognitive Impact in Dementia study daily for delirium and physical function, using the Hierarchical Assessment of Balance and Mobility (HABAM). We used linear mixed models to assess the effect of delirium and delirium severity during admission on HABAM trajectory. RESULTS: Of 178 participants, 58 experienced delirium during admission. Median HABAM scores in those with delirium were significantly higher (indicating worse mobility) than those without delirium. Modeling HABAM trajectories, HABAM scores at first assessment were worse in those with delirium than those without, by 0.76 (95% CI: 0.49-1.04) points. Participants with severe delirium experienced a much greater perturbance in their physical function, with an even lower value at first assessment and slower subsequent improvement. CONCLUSIONS: Physical function was worse in those with delirium compared to without. This supports the assertion that motor disturbances are a core feature of delirium and monitoring physical function, using a tool such as the HABAM, may have clinical utility as a surrogate marker for delirium and its resolution.",0
16,"OBJECTIVE: The prevalence and prognosis of delirium motor subtypes are not yet well established. We analyzed the prevalence of motor subtypes of delirium, as well as their risk factors and outcomes, among older vulnerable patients admitted for short-term management of exacerbated chronic conditions. METHODS: Cohort study of patients aged 65 and older who developed delirium while admitted to a subacute care unit for 12 months (N = 352). Confusion Assessment Method was used to determine the presence of delirium and the Delirium Motor Subtype Scale was used to define the motor subtype. Outcomes included discharge destination, mortality, readmission, and functional trajectories. RESULTS: Out of 352 patients with delirium (mean age= 87.4, 73.6% with dementia), hyperactive delirium was the most prevalent subtype (40.6%), followed by mixed (31%), hypoactive (25.9%), and nonmotor (2.6%). In multivariate models, worse preadmission functional status (odds ratio [OR] [95% confidence interval {CI}] = 0.97 [0.96-0.98]) and higher comorbidity (OR [95% CI] = 1.3 [1.04-1.51]) were associated with an increased risk of hypoactive delirium. In multivariate models adjusted for different variables, including disability, hypoactive delirium was associated with mortality compared with hyperactive delirium (OR [95% CI] = 4.7 [1.6-14]) and mixed delirium (OR [95% CI] = 2.0 [1.02-3.9]) and with worse functional recovery (Beta[95% CI] = -0.2 [-12.0-(-0.4)]). CONCLUSION: Delirium motor subtypes were associated with different patient characteristics and outcomes. Hypoactive delirium seems to affect more vulnerable patients and to be associated with worse outcomes. More research on the different delirium subtypes could help develop better preventive and management strategies.",0
17,"BACKGROUND: Delirium is an extremely common hospital complication. No study to date has assessed whether a priori defined covariates; type of hospital setting and year of study publication, influence the relationship between delirium and mortality. This is also the first study to examine the longitudinal trend of delirium-associated mortality over recent decades, to analyse the trajectory of our efforts in combating this disease. METHODS: MEDLINE, EMBASE and PsycINFO, were searched from January 1981 to May 2018 for English-language primary articles. Rigorous title and abstract screen and full-text screen were conducted independently by two reviewers. This paper adhered to MOOSE guidelines. Data was extracted independently by one reviewer using standardised data-collection sheets, with a separate reviewer verifying for accuracy. The quality of included studies was assessed using the Newcastle-Ottawa Quality Assessment Scale. Unadjusted effect sizes and event counts were analysed with a random effects model in primary meta-analysis and meta-regression, whereas a mixed effect model was used in secondary sub-group analysis. Mortality data at longest follow-up and cumulative mortality (hospital mortality combined with mortality at longest follow-up) data were analysed. RESULTS: As part of a larger project, 446 of 6790 articles were retrieved, including 71 studies that measured mortality. Our results demonstrate that elderly inpatients with delirium had significantly greater odds of mortality (OR 3.18 [95%CI: 2.73, 3.70]) compared to non-delirious controls. Patients with delirium in the ICU had the highest odds for mortality (OR: 7.09 [95%CI: 3.60, 14.0]); double the risk compared to the average. Curiously, despite advancements in delirium research, delirium associated in-hospital odds of mortality has not changed in 30 years. CONCLUSION: This is the largest meta-analysis to confirm the association between delirium and mortality, in older (age ≥ 65) hospital inpatients. The current meta-analysis highlights the significant odds of mortality after an episode of delirium, and these odds are much higher for ICU patients. However, in contrast to other medical conditions that have seen a decrease in associated mortality over the past few decades, delirium associated mortality remains unchanged. These findings underscore the urgent need for better delirium treatments. PROSPERO Registration Number: CRD42018098627, https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=98627.",0
18,"BACKGROUND: Subsyndromal delirium (SSD), a subthreshold form of delirium, is related to longer length of stay and increased mortality rates among older adults. Risk factors and outcomes of SSD in cardiac surgery patients are not fully understood. OBJECTIVE: The aim of this study was to assess and describe the characteristics and outcomes related to trajectories of SSD and delirium in cardiac surgery patients. METHODS: In this secondary analysis of a retrospective case-control (1:1) cohort study, SSD was defined as a score between 1 and 3 on the Intensive Care Delirium Screening Checklist paired with an absence of diagnosis of delirium on the day of assessment. Potential risk factors (eg, age) and outcomes (eg, mortality) were identified from existing literature. Patients were grouped into 4 trajectories: (1) without SSD or delirium, (2) SSD only, (3) both, and (4) delirium only. These trajectories were contrasted using analysis of variance or χ2 test. RESULTS: Among the cohort of 346 patients, 110 patients did not present with SSD or delirium, 62 presented with only SSD, 69 presented with both, and 105 presented with only delirium. In comparison with patients without SSD or delirium, patients with SSD presented preoperative risk factors known for delirium (ie, older age, higher European System for Cardiac Operative Risk Evaluation II) but underwent less complicated surgical procedures, received fewer transfusions postoperatively, and had a lower positive fluid balance postoperatively than patients who presented with delirium. Patients with both SSD and delirium had worse outcomes in comparison with those with delirium only. CONCLUSION: This study stresses the importance for healthcare professionals to identify SSD and prevent its progression to delirium.",0
19,"OBJECTIVE: The objective of this study was to identify the risk factors for each area of post-intensive care syndrome (PICS) and to determine their effect size. REVIEW METHOD USED: This study used systematic review and meta-analysis. DATA SOURCES: PubMed, CINAHL, EMBASE, PsycINFO, and Cochrane Library were searched. REVIEW METHODS: Eighty-nine studies were selected for the review based on the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. The PICS areas and risk factors reported in the individual studies were reviewed and categorised. We used the Newcastle-Ottawa Scale to evaluate the quality of studies. The effect size of each risk factor was calculated as odds ratio (OR). RESULTS: There were 33 mental health studies, 15 cognitive impairment studies, 32 physical impairment studies, eight studies on two areas, and one study on all three areas. Sixty risk factors were identified, including 33 personal and 27 intensive care unit (ICU)-related factors. Significant risk factors for mental health included female sex (odds ratio [OR] = 3.37, 95% confidence interval [CI]: 1.12-10.17), previous mental health problems (OR = 9.45, 95% CI: 2.08-42.90), and negative ICU experience (OR = 2.59, 95% CI: 2.04-3.28). The only significant risk factor for cognitive impairment was delirium (OR = 2.85, 95% CI: 1.10-7.38). Significant risk factors for physical impairment included older age (OR = 2.19, 95% CI: 1.11-4.33), female sex (OR = 1.96, 95% CI: 1.32-2.91), and high disease severity (OR = 2.54, 95% CI: 1.76-3.66). CONCLUSIONS: Although PICS is a multidimensional concept, each area has been studied separately. Significant risk factors for PICS included older age, female sex, previous mental health problems, disease severity, negative ICU experience, and delirium. To prevent PICS, the multidisciplinary team should pay attention to modifiable risk factors such as delirium and patients' ICU experience.",0
20,"CONTEXT: Over the past several decades, advances in pediatric critical care have saved many lives. As such, contemporary care has broadened its focus to also include minimizing morbidity. Post Intensive Care Syndrome, also known as ""PICS,"" is a group of cognitive, physical, and mental health impairments that commonly occur in patients after ICU discharge. Post Intensive Care Syndrome has been well-conceptualized in the adult population but not in children. OBJECTIVE: To develop a conceptual framework describing Post Intensive Care Syndrome in pediatrics that includes aspects of the experience that are unique to children and their families. DATA SYNTHESIS: The Post Intensive Care Syndrome in pediatrics (PICS-p) framework highlights the importance of baseline status, organ system maturation, psychosocial development, the interdependence of family, and trajectories of health recovery that can potentially impact a child's life for decades. CONCLUSION: Post Intensive Care Syndrome in pediatrics will help illuminate the phenomena of surviving childhood critical illness and guide outcomes measurement in the field. Empirical studies are now required to validate and refine this framework, and to subsequently develop a set of core outcomes for this population. With explication of Post Intensive Care Syndrome in pediatrics, the discipline of pediatric critical care will then be in a stronger position to map out recovery after pediatric critical illness and to evaluate interventions designed to mitigate risk for poor outcomes with the goal of optimizing child and family health.",0
